Partial,Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Parital,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
12,0,49.8,0.6932023868560792,2.8438129949569704,0.40605098056793215,12,0,51.111111111111114,0.6936527623070611,2.890860371457206,0.413939212097062,0.5111111111111111,0.5,0.5294117647058824
12,1,51.3,0.692888783454895,2.930192915916443,0.41302727365493774,12,1,51.111111111111114,0.6928741282886929,2.5304922646946375,0.4090438908586899,0.5111111111111111,0.5,0.5294117647058824
12,2,51.8,0.6924949803352356,2.9104040269851685,0.4120444895029068,12,2,51.111111111111114,0.6955524153179593,2.5337820490201315,0.40421001112295524,0.5111111111111111,0.5,0.5294117647058824
12,3,49.1,0.6930048732757569,2.6491171255111694,0.38686222219467165,12,3,51.111111111111114,0.6925003488858541,2.9224615878529017,0.3998754184279177,0.5111111111111111,0.5714285714285714,0.4117647058823529
12,4,52.2,0.691837345123291,2.9270163967609406,0.4057630386352539,12,4,44.44444444444444,0.6945755971802605,2.1339337931738958,0.3459094646904204,0.4444444444444444,0.32142857142857145,0.6470588235294118
12,5,53.3,0.6919271192550659,2.9428166313171387,0.4091028689146042,12,5,55.55555555555556,0.6908918579419454,2.8156339446703593,0.4230151292350557,0.5555555555555556,0.6071428571428571,0.47058823529411764
12,6,55.1,0.6868583526611328,2.993404763221741,0.4172205896377563,12,6,46.666666666666664,0.7047371175554064,2.043616305457221,0.35423343380292255,0.4666666666666667,0.42857142857142855,0.5294117647058824
12,7,53.1,0.693386040687561,2.7838989973068236,0.3980475249290466,12,7,51.111111111111114,0.6983428239822388,2.4295408447583515,0.38173838315738573,0.5111111111111111,0.35714285714285715,0.7647058823529411
12,8,52.7,0.6907765712738038,2.734434194564819,0.3908154904842377,12,8,53.333333333333336,0.6859316852357652,2.745227531592051,0.3930058186252912,0.5333333333333333,0.6071428571428571,0.4117647058823529
12,9,56.5,0.6853337888717651,2.987949026107788,0.41250082898139956,12,9,51.111111111111114,0.6997439463933309,2.4614929967456396,0.3732312647004922,0.5111111111111111,0.39285714285714285,0.7058823529411765
12,10,51.7,0.6900820002555847,2.544566989898682,0.37531935691833496,12,10,48.888888888888886,0.6927939017613729,2.1421976486841836,0.3545342478901148,0.4888888888888889,0.42857142857142855,0.5882352941176471
12,11,53.6,0.6888776960372924,2.6292897624969482,0.38403214168548583,12,11,57.77777777777778,0.6832067781024509,2.9306937323676214,0.40942317102518344,0.5777777777777777,0.6785714285714286,0.4117647058823529
12,12,58.9,0.6793363356590271,2.9992364721298217,0.41425141954421996,12,12,55.55555555555556,0.6636918577882979,3.1154778467284308,0.3899565140406291,0.5555555555555556,0.8214285714285714,0.11764705882352941
12,13,52.8,0.6904365463256836,2.505470896363258,0.37026556563377383,12,13,62.22222222222222,0.6811642646789551,3.1297729677624173,0.42814779587917856,0.6222222222222222,0.6428571428571429,0.5882352941176471
12,14,58.4,0.6728880739212036,2.9945137939453126,0.4015199689865112,12,14,51.111111111111114,0.6914560563034482,2.659198272228241,0.3537263156639205,0.5111111111111111,0.25,0.9411764705882353
12,15,55.5,0.6900657930374146,2.6283242650032044,0.378930526971817,12,15,62.22222222222222,0.6381985008716583,2.7766826536920335,0.41788301145037016,0.6222222222222222,0.8928571428571429,0.17647058823529413
12,16,57.6,0.6768267436027526,2.749829655647278,0.3874983642101288,12,16,48.888888888888886,0.6709588805834452,1.773364175690545,0.33297051588694254,0.4888888888888889,0.35714285714285715,0.7058823529411765
12,17,58.2,0.6742550563812256,2.770029953956604,0.3865830001831055,12,17,68.88888888888889,0.6125386367241542,3.4268456220626833,0.44715341892507343,0.6888888888888889,0.7857142857142857,0.5294117647058824
12,18,58.0,0.6785335235595703,2.7084513387680054,0.38102686357498167,12,18,60.0,0.6326187471548717,2.649573726124234,0.3903648629784584,0.6,0.6428571428571429,0.5294117647058824
12,19,58.8,0.6687493381500245,2.7553114055395125,0.3812973265647888,12,19,62.22222222222222,0.6182052337461048,2.9712226668993633,0.39830486641989815,0.6222222222222222,0.5714285714285714,0.7058823529411765
12,20,60.0,0.6707251195907593,2.6890742192268373,0.3836161870956421,12,20,66.66666666666667,0.6208975119723215,3.1161771721310085,0.4181032180786133,0.6666666666666666,0.7142857142857143,0.5882352941176471
12,21,58.7,0.6712667922973633,2.6023611278533934,0.37212473154067993,12,21,57.77777777777778,0.6473490201764637,2.275630866156684,0.3650235173602899,0.5777777777777777,0.39285714285714285,0.8823529411764706
12,22,59.5,0.6676473040580749,2.638997826576233,0.37232622385025027,12,22,66.66666666666667,0.5988763911856545,3.0951998353004457,0.4080779403448105,0.6666666666666666,0.9642857142857143,0.17647058823529413
12,23,61.0,0.6546275024414062,2.6479112567901613,0.37598933386802674,12,23,64.44444444444444,0.6171037566330698,3.070065614912245,0.3916445387734307,0.6444444444444445,0.4642857142857143,0.9411764705882353
12,24,58.8,0.6681985998153687,2.52556196975708,0.3605158989429474,12,24,66.66666666666667,0.6046507471137577,3.1072214603424073,0.39842640111843747,0.6666666666666666,0.75,0.5294117647058824
12,25,58.6,0.6674931325912475,2.4484790840148927,0.3557878086566925,12,25,66.66666666666667,0.5953709818422794,2.8041791995366414,0.39388567457596463,0.6666666666666666,0.75,0.5294117647058824
12,26,60.8,0.6526975994110107,2.5817355146408083,0.3628939824104309,12,26,64.44444444444444,0.6179344395796458,3.0333595593770344,0.3784453418519762,0.6444444444444445,0.6428571428571429,0.6470588235294118
12,27,60.8,0.6590721235275269,2.492591142654419,0.3589361853599548,12,27,66.66666666666667,0.6012913605405225,3.337435992558797,0.3846103896697362,0.6666666666666666,0.75,0.5294117647058824
12,28,62.3,0.6501972646713257,2.638636510848999,0.3620299596786499,12,28,48.888888888888886,0.6642502890692816,1.3601500299241809,0.29803357521692914,0.4888888888888889,0.2857142857142857,0.8235294117647058
