Partial,Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Parital,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
12,0,52.7,0.6915355863571166,1.5483841458559036,0.42901549220085144,12,0,51.111111111111114,0.6912159601847331,1.7396127763721678,0.4138842548761103,0.5111111111111111,0.5,0.5263157894736842
12,1,51.5,0.6916098690032959,1.478278760910034,0.41466380035877226,12,1,55.55555555555556,0.6927070617675781,1.411844089296129,0.4436139352619648,0.5555555555555556,0.46153846153846156,0.6842105263157895
12,2,51.6,0.6925057249069214,1.4669621357917786,0.4107241542339325,12,2,51.111111111111114,0.6933241433567471,1.357100131445461,0.4045614716493421,0.5111111111111111,0.5,0.5263157894736842
12,3,53.1,0.6906000604629516,1.444235960960388,0.41738848996162414,12,3,53.333333333333336,0.6844947920905219,1.5263526260852813,0.41666427062203487,0.5333333333333333,0.7307692307692307,0.2631578947368421
12,4,55.0,0.6894737730026245,1.5747746849060058,0.42663035249710085,12,4,60.0,0.6863294177585177,1.4748670823044248,0.46098192483186723,0.6,0.7307692307692307,0.42105263157894735
12,5,52.5,0.6901874189376831,1.4379360208511351,0.4032069270610809,12,5,60.0,0.6757094820340475,1.6775540603531731,0.45551921278238294,0.6,0.8461538461538461,0.2631578947368421
12,6,53.6,0.6913067531585694,1.4646664593219758,0.4066239909529686,12,6,53.333333333333336,0.6876264029079013,1.2889130900303523,0.40233595594763755,0.5333333333333333,0.6538461538461539,0.3684210526315789
12,7,53.9,0.6882736349105835,1.4538835984468461,0.40413629126548767,12,7,53.333333333333336,0.6774613122145335,1.6504702806472777,0.3977785727630059,0.5333333333333333,0.5384615384615384,0.5263157894736842
12,8,55.0,0.6842867379188537,1.4673059759140015,0.40723460125923155,12,8,57.77777777777778,0.6884712139765422,1.5343741748068067,0.42401011540657946,0.5777777777777777,0.7307692307692307,0.3684210526315789
12,9,52.3,0.6905528345108032,1.335694412946701,0.3840827348232269,12,9,62.22222222222222,0.6832477238443163,1.5326402260197534,0.4496781157122718,0.6222222222222222,0.5769230769230769,0.6842105263157895
12,10,58.3,0.682141806602478,1.5268890266418458,0.4204559712409973,12,10,68.88888888888889,0.6508939177211788,1.8417197419537439,0.4885671662787596,0.6888888888888889,1.0,0.2631578947368421
12,11,59.1,0.6666597423553466,1.5537168612480163,0.4204984269142151,12,11,55.55555555555556,0.7402746736175484,1.4364428798357645,0.39445992310841876,0.5555555555555556,0.5769230769230769,0.5263157894736842
12,12,59.0,0.6655372905731202,1.4789073081016542,0.4146128404140472,12,12,62.22222222222222,1.0656982391776788,1.658568016688029,0.43270509011215635,0.6222222222222222,0.7692307692307693,0.42105263157894735
12,13,57.7,0.6674536285400391,1.416414143562317,0.40130559539794924,12,13,57.77777777777778,0.6738849947603841,1.3888027171293895,0.39933954709106023,0.5777777777777777,1.0,0.0
12,14,56.0,0.6713386144638062,1.309288935661316,0.38608178877830507,12,14,64.44444444444444,2.793380541191679,1.7566536558998955,0.43638841178682114,0.6444444444444445,0.9230769230769231,0.2631578947368421
12,15,59.0,0.6676728448867798,1.4683804922103882,0.4003047995567322,12,15,48.888888888888886,0.6845666941669252,1.106512616078059,0.33617153705822095,0.4888888888888889,0.11538461538461539,1.0
12,16,58.6,0.6665547738075256,1.435238899230957,0.39319994115829465,12,16,53.333333333333336,0.643394711241126,1.4750863273938497,0.3593735009431839,0.5333333333333333,0.4230769230769231,0.6842105263157895
12,17,60.3,0.6565803680419922,1.4033372225761414,0.3987036895751953,12,17,48.888888888888886,0.6684718318800859,1.036219369702869,0.3294149459236198,0.4888888888888889,0.2692307692307692,0.7894736842105263
12,18,58.0,0.6583353543281555,1.3564863271713257,0.3807206959724426,12,18,68.88888888888889,1.8233895648684755,1.7719496250152589,0.44116960101657443,0.6888888888888889,0.8461538461538461,0.47368421052631576
12,19,61.3,0.6490156092643737,1.4550917255878448,0.39526003479957583,12,19,46.666666666666664,1.5271824232819906,0.696813557545344,0.3104181945323944,0.4666666666666667,0.19230769230769232,0.8421052631578947
12,20,54.9,0.6848128132820129,1.2270794286727906,0.3551084780693054,12,20,42.22222222222222,0.7159690274132623,0.6559577862421672,0.2833445949686898,0.4222222222222222,0.0,1.0
12,21,53.2,0.6884192934036255,1.0778447352051734,0.3425797724723816,12,21,53.333333333333336,0.6967438538869222,1.1647153245078192,0.3418106146156788,0.5333333333333333,0.5384615384615384,0.5263157894736842
12,22,52.7,0.6861336951255799,1.0713504260778428,0.33702330017089843,12,22,51.111111111111114,0.6989917993545532,1.103823858499527,0.3271363983551661,0.5111111111111111,0.15384615384615385,1.0
12,23,55.7,0.6785939016342163,1.153562974691391,0.35003899478912354,12,23,57.77777777777778,0.6892556985219319,0.9572531508074866,0.35931653330723445,0.5777777777777777,0.5,0.6842105263157895
12,24,59.7,0.6625822348594665,1.3720045366287232,0.3673827466964722,12,24,51.111111111111114,0.7389879319402907,1.0403713014390734,0.321296041044924,0.5111111111111111,0.15384615384615385,1.0
12,25,57.3,0.6674978408813477,1.116652970790863,0.35129604482650756,12,25,46.666666666666664,2.3920157013667955,0.714428530799018,0.29618723392486573,0.4666666666666667,0.5384615384615384,0.3684210526315789
12,26,58.3,0.6572058954238892,1.2044757509231567,0.35281051135063174,12,26,53.333333333333336,5.474383771171173,0.8381878972053528,0.3266352395216624,0.5333333333333333,0.38461538461538464,0.7368421052631579
