Partial,Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Parital,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
12,0,51.4,0.6928189048767089,2.9435225105285645,0.41859996843338015,12,0,46.666666666666664,0.6957573466830783,2.6457398295402528,0.3787148083249728,0.4666666666666667,0.5,0.43478260869565216
12,1,51.0,0.6930847663879395,2.8132539167404174,0.41042792987823484,12,1,46.666666666666664,0.6950329462687175,2.28060748245981,0.37439490060011543,0.4666666666666667,0.5,0.43478260869565216
12,2,50.6,0.6928107137680054,2.855328418970108,0.40261834806203844,12,2,46.666666666666664,0.6950081162982517,2.6316364884376524,0.37026096483071647,0.4666666666666667,0.5,0.43478260869565216
12,3,53.9,0.6881935262680053,3.046800928115845,0.4229561266899109,12,3,46.666666666666664,0.7100375016530355,2.4728061338265737,0.36599777787923815,0.4666666666666667,0.5,0.43478260869565216
12,4,56.4,0.6852564926147461,3.1700856399536135,0.4363686103820801,12,4,48.888888888888886,0.6982118195957607,2.532610738277435,0.3780897685223156,0.4888888888888889,0.4090909090909091,0.5652173913043478
12,5,57.2,0.6841900863647461,3.2166461486816407,0.4367237277030945,12,5,51.111111111111114,0.6906312439176772,2.3120660463968914,0.3896853463517295,0.5111111111111111,0.2727272727272727,0.7391304347826086
12,6,57.4,0.6760895376205445,3.1339917488098146,0.432676531791687,12,6,55.55555555555556,0.6957282933923933,3.258897728390164,0.41672223558028537,0.5555555555555556,0.5454545454545454,0.5652173913043478
12,7,59.6,0.6709112691879272,3.1963502254486085,0.442781284570694,12,7,57.77777777777778,0.703814462158415,2.998558262983958,0.42706937450501653,0.5777777777777777,0.13636363636363635,1.0
12,8,60.0,0.6591508178710938,3.276193738937378,0.4398474414348602,12,8,48.888888888888886,0.7153556197881699,2.508018512196011,0.36057600151333546,0.4888888888888889,0.8181818181818182,0.17391304347826086
12,9,58.3,0.6720951557159424,3.0853264274597167,0.42275157690048215,12,9,60.0,0.678818510638343,3.2830223308669195,0.4316147968173027,0.6,0.36363636363636365,0.8260869565217391
12,10,59.3,0.6596514368057251,3.0604556026458742,0.42437465238571165,12,10,60.0,0.6733406768904792,2.897470164299011,0.4262872725725174,0.6,0.5454545454545454,0.6521739130434783
12,11,63.7,0.6490839138031006,3.3802028388977052,0.4479567902088165,12,11,46.666666666666664,0.7441621406210793,1.9826649241977268,0.33406260907649993,0.4666666666666667,0.8636363636363636,0.08695652173913043
