Train acc,Train loss,test loss,test ASD acc,test TD acc,test AVG acc,test acc
0.5110000371932983,0.6928971629142762,0.6818966269493103,1.0,0.0,0.5,0.6666666865348816
0.5210000276565552,0.6933205890655517,0.6892368197441101,0.9583333134651184,0.1666666716337204,0.5624999925494194,0.694444477558136
0.5390000343322754,0.6931330804824829,0.6885350942611694,0.5,0.75,0.625,0.5833333134651184
0.5370000004768372,0.6927176480293273,0.6871145367622375,0.5,0.75,0.625,0.5833333134651184
0.5020000338554382,0.6928489999771118,0.6931865215301514,0.5,0.75,0.625,0.5833333134651184
0.5120000243186951,0.6931095547676086,0.7003160119056702,0.0,1.0,0.5,0.3333333432674408
0.5270000100135803,0.6926181845664978,0.6910043954849243,0.9583333134651184,0.4166666567325592,0.6874999850988388,0.7777777910232544
0.5380000472068787,0.69234996509552,0.6922721862792969,0.5,0.75,0.625,0.5833333134651184
0.5240000486373901,0.6928944163322449,0.6880552172660828,0.5833333134651184,0.6666666865348816,0.625,0.6111111044883728
0.5270000100135803,0.69282093334198,0.6947539448738098,0.0416666679084301,0.9166666865348816,0.47916667722165585,0.3333333432674408
