Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
0,50.8,0.69449440908432,0.02253072342276573,0.41401410818099976,0,50.8,0.69449440908432,0.02253072342276573,0.41401410818099976,0.3055555555555556,0.041666666666666664,0.8333333333333334
1,51.9,0.6934639463424682,0.02239812499284744,0.4177174820899963,1,51.9,0.6934639463424682,0.02239812499284744,0.4177174820899963,0.5277777777777778,0.6666666666666666,0.25
2,48.1,0.694501799583435,0.01765700589120388,0.3835953302383423,2,48.1,0.694501799583435,0.01765700589120388,0.3835953302383423,0.5,0.4166666666666667,0.6666666666666666
3,48.9,0.6942035336494445,0.020813530266284942,0.38551932644844056,3,48.9,0.6942035336494445,0.020813530266284942,0.38551932644844056,0.6111111111111112,0.9166666666666666,0.0
4,52.9,0.6920038099288941,0.024094978913664817,0.41095509195327756,4,52.9,0.6920038099288941,0.024094978913664817,0.41095509195327756,0.3333333333333333,0.0,1.0
5,50.9,0.692605450630188,0.019014350041747095,0.3913396737575531,5,50.9,0.692605450630188,0.019014350041747095,0.3913396737575531,0.5277777777777778,0.3333333333333333,0.9166666666666666
6,53.1,0.6930861306190491,0.0057433640658855435,0.4027193503379822,6,53.1,0.6930861306190491,0.0057433640658855435,0.4027193503379822,0.5277777777777778,0.375,0.8333333333333334
7,53.8,0.6918499464988709,0.010249373868107797,0.4028737232685089,7,53.8,0.6918499464988709,0.010249373868107797,0.4028737232685089,0.6111111111111112,0.5416666666666666,0.75
8,52.4,0.6909666595458984,0.013235467091202735,0.3883783311843872,8,52.4,0.6909666595458984,0.013235467091202735,0.3883783311843872,0.4722222222222222,0.20833333333333334,1.0
9,53.5,0.691319215297699,-0.004164576172828675,0.39154995512962343,9,53.5,0.691319215297699,-0.004164576172828675,0.39154995512962343,0.6111111111111112,0.8333333333333334,0.16666666666666666
10,55.3,0.6892659826278686,0.01097490257024765,0.3991751039028168,10,55.3,0.6892659826278686,0.01097490257024765,0.3991751039028168,0.4444444444444444,0.20833333333333334,0.9166666666666666
11,55.6,0.6876053905487061,0.009938024893403053,0.3964024329185486,11,55.6,0.6876053905487061,0.009938024893403053,0.3964024329185486,0.4722222222222222,0.2916666666666667,0.8333333333333334
12,56.7,0.6862715072631836,0.01703789247572422,0.39888787603378295,12,56.7,0.6862715072631836,0.01703789247572422,0.39888787603378295,0.6666666666666666,0.7916666666666666,0.4166666666666667
13,53.9,0.6858774499893189,0.01943824203312397,0.37639833354949953,13,53.9,0.6858774499893189,0.01943824203312397,0.37639833354949953,0.7222222222222222,0.7916666666666666,0.5833333333333334
14,55.3,0.6806029615402222,0.00930917502939701,0.3811071162223816,14,55.3,0.6806029615402222,0.00930917502939701,0.3811071162223816,0.4166666666666667,0.20833333333333334,0.8333333333333334
