Train acc,Train loss,test loss,test ASD acc,test TD acc,test AVG acc,test acc
0.5110000371932983,0.6930638694763184,0.702080249786377,0.0,1.0,0.5,0.3333333432674408
0.5110000371932983,0.6929738445281982,0.6922342777252197,0.5,0.75,0.625,0.5833333134651184
0.5139999985694885,0.6930221834182739,0.6914268732070923,0.5,0.75,0.625,0.5833333134651184
0.5060000419616699,0.6929504170417785,0.6909665465354919,0.5,0.75,0.625,0.5833333134651184
0.49500003457069397,0.6932925300598145,0.6913828253746033,0.5,0.75,0.625,0.5833333134651184
0.49400001764297485,0.6933036007881165,0.6915414929389954,0.5,0.75,0.625,0.5833333134651184
0.5040000081062317,0.6929434247016907,0.6920070052146912,0.5,0.75,0.625,0.5833333134651184
0.5100000500679016,0.6927233552932739,0.6919592618942261,0.5,0.75,0.625,0.5833333134651184
0.5020000338554382,0.6930416231155395,0.691296398639679,0.5,0.75,0.625,0.5833333134651184
0.5080000162124634,0.6930670490264893,0.6917298436164856,0.5,0.75,0.625,0.5833333134651184
Train acc,Train loss,test loss,test ASD acc,test TD acc,test AVG acc,test acc
0.5110000371932983,0.6930638694763184,0.702080249786377,0.0,1.0,0.5,0.3333333432674408
0.5110000371932983,0.6929738445281982,0.6922342777252197,0.5,0.75,0.625,0.5833333134651184
0.5139999985694885,0.6930221834182739,0.6914268732070923,0.5,0.75,0.625,0.5833333134651184
Train acc,Train loss,test loss,test ASD acc,test TD acc,test AVG acc,test acc
0.5110000371932983,0.6930638694763184,0.702080249786377,0.0,1.0,0.5,0.3333333432674408
0.5110000371932983,0.6929738445281982,0.6922342777252197,0.5,0.75,0.625,0.5833333134651184
0.5139999985694885,0.6930221834182739,0.6914268732070923,0.5,0.75,0.625,0.5833333134651184
0.5060000419616699,0.6929504170417785,0.6909665465354919,0.5,0.75,0.625,0.5833333134651184
0.49500003457069397,0.6932925300598145,0.6913828253746033,0.5,0.75,0.625,0.5833333134651184
0.49400001764297485,0.6933036007881165,0.6915414929389954,0.5,0.75,0.625,0.5833333134651184
