Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
0,48.7,0.694332082271576,0.0008010927140712738,0.39724808806180956,0,48.7,0.694332082271576,0.0008010927140712738,0.39724808806180956,0.5333333333333333,1.0,0.0
1,53.2,0.6921641616821289,0.03424315467476845,0.42755564451217654,1,53.2,0.6921641616821289,0.03424315467476845,0.42755564451217654,0.4666666666666667,0.375,0.5714285714285714
2,54.9,0.6890678730010986,0.022668626815080643,0.43517166352272035,2,54.9,0.6890678730010986,0.022668626815080643,0.43517166352272035,0.4666666666666667,0.5,0.42857142857142855
3,54.7,0.6870190997123719,0.018133903980255127,0.42819668078422546,3,54.7,0.6870190997123719,0.018133903980255127,0.42819668078422546,0.4666666666666667,0.5,0.42857142857142855
4,54.0,0.6866326141357422,0.015541375249624251,0.4178609938621521,4,54.0,0.6866326141357422,0.015541375249624251,0.4178609938621521,0.4666666666666667,0.4583333333333333,0.47619047619047616
5,54.1,0.6876896767616272,0.01051575157046318,0.41371905446052554,5,54.1,0.6876896767616272,0.01051575157046318,0.41371905446052554,0.37777777777777777,0.16666666666666666,0.6190476190476191
6,55.3,0.6876500997543334,0.029346768528223037,0.4175291316509247,6,55.3,0.6876500997543334,0.029346768528223037,0.4175291316509247,0.4888888888888889,0.4166666666666667,0.5714285714285714
7,52.4,0.6884133844375611,0.008851053975522518,0.3922154116630554,7,52.4,0.6884133844375611,0.008851053975522518,0.3922154116630554,0.4888888888888889,0.6666666666666666,0.2857142857142857
8,53.3,0.6882380399703979,0.009835920974612236,0.3942868175506592,8,53.3,0.6882380399703979,0.009835920974612236,0.3942868175506592,0.5111111111111111,0.125,0.9523809523809523
9,56.6,0.6830197157859802,0.02306800864636898,0.4124586977958679,9,56.6,0.6830197157859802,0.02306800864636898,0.4124586977958679,0.4888888888888889,0.5,0.47619047619047616
10,56.5,0.6727774772644043,0.006169839382171631,0.40689638996124267,10,56.5,0.6727774772644043,0.006169839382171631,0.40689638996124267,0.4666666666666667,0.5,0.42857142857142855
11,58.0,0.66945689535141,0.002439723879098892,0.4119877541065216,11,58.0,0.66945689535141,0.002439723879098892,0.4119877541065216,0.4666666666666667,0.5,0.42857142857142855
12,56.8,0.6698588671684265,0.03133877888321877,0.3993210105895996,12,56.8,0.6698588671684265,0.03133877888321877,0.3993210105895996,0.5333333333333333,0.4583333333333333,0.6190476190476191
13,60.4,0.6553299059867859,-0.0036415930688381195,0.4175144381523132,13,60.4,0.6553299059867859,-0.0036415930688381195,0.4175144381523132,0.5777777777777777,0.6666666666666666,0.47619047619047616
14,59.9,0.6517687635421753,0.0016057608276605607,0.40921828246116637,14,59.9,0.6517687635421753,0.0016057608276605607,0.40921828246116637,0.6222222222222222,0.5833333333333334,0.6666666666666666
15,61.0,0.6487667627334595,0.011353801690042018,0.41093023133277895,15,61.0,0.6487667627334595,0.011353801690042018,0.41093023133277895,0.5111111111111111,0.75,0.23809523809523808
16,62.2,0.6384478988647461,0.010092416927218437,0.4130114669799805,16,62.2,0.6384478988647461,0.010092416927218437,0.4130114669799805,0.5111111111111111,0.5,0.5238095238095238
17,63.2,0.6334812326431274,0.025564509987831115,0.4136553301811218,17,63.2,0.6334812326431274,0.025564509987831115,0.4136553301811218,0.5777777777777777,0.7083333333333334,0.42857142857142855
