Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
0,52.0,0.6921090998649597,0.026520960167050363,0.42350375509262084,0,52.0,0.6921090998649597,0.026520960167050363,0.42350375509262084,0.4634146341463415,0.4117647058823529,0.5
1,51.2,0.6915083346366883,0.013399452462792397,0.4122677021026611,1,51.2,0.6915083346366883,0.013399452462792397,0.4122677021026611,0.4878048780487805,0.35294117647058826,0.5833333333333334
2,55.1,0.6883730659484864,0.01822118504345417,0.43741543459892274,2,55.1,0.6883730659484864,0.01822118504345417,0.43741543459892274,0.4634146341463415,0.4117647058823529,0.5
3,55.4,0.6834974045753479,0.0064072440564632415,0.43424095392227174,3,55.4,0.6834974045753479,0.0064072440564632415,0.43424095392227174,0.4878048780487805,0.4117647058823529,0.5416666666666666
4,52.4,0.691072374343872,-0.007182394415140152,0.4067044105529785,4,52.4,0.691072374343872,-0.007182394415140152,0.4067044105529785,0.43902439024390244,0.47058823529411764,0.4166666666666667
5,56.3,0.6836869187355041,0.01486113341152668,0.43065599274635313,5,56.3,0.6836869187355041,0.01486113341152668,0.43065599274635313,0.5121951219512195,0.6470588235294118,0.4166666666666667
6,56.7,0.677341151714325,0.013315629810094834,0.42828982639312746,6,56.7,0.677341151714325,0.013315629810094834,0.42828982639312746,0.5121951219512195,0.17647058823529413,0.75
7,56.8,0.6809233131408692,0.008985433518886567,0.4238069844245911,7,56.8,0.6809233131408692,0.008985433518886567,0.4238069844245911,0.5609756097560976,0.17647058823529413,0.8333333333333334
8,60.2,0.6697277779579163,-0.0049123048186302185,0.44230242228507993,8,60.2,0.6697277779579163,-0.0049123048186302185,0.44230242228507993,0.43902439024390244,0.5294117647058824,0.375
9,61.8,0.6564560351371765,0.030969498664140702,0.4474677767753601,9,61.8,0.6564560351371765,0.030969498664140702,0.4474677767753601,0.4634146341463415,0.35294117647058826,0.5416666666666666
10,62.0,0.6537159309387207,0.026163039430975914,0.4429165177345276,10,62.0,0.6537159309387207,0.026163039430975914,0.4429165177345276,0.4146341463414634,0.47058823529411764,0.375
11,63.6,0.6380321063995361,0.033703955546021465,0.4476371831893921,11,63.6,0.6380321063995361,0.033703955546021465,0.4476371831893921,0.4146341463414634,0.9411764705882353,0.041666666666666664
12,66.6,0.6211641440391541,0.01847599706053734,0.4609142961502075,12,66.6,0.6211641440391541,0.01847599706053734,0.4609142961502075,0.43902439024390244,0.4117647058823529,0.4583333333333333
13,69.0,0.6227947831153869,-0.00605334261059761,0.46952022647857666,13,69.0,0.6227947831153869,-0.00605334261059761,0.46952022647857666,0.2926829268292683,0.5882352941176471,0.08333333333333333
14,69.3,0.6062912955284119,0.012633506178855896,0.4645314493179321,14,69.3,0.6062912955284119,0.012633506178855896,0.4645314493179321,0.3170731707317073,0.5882352941176471,0.125
15,65.1,0.6302379994392395,0.015712902188301087,0.43268448305130003,15,65.1,0.6302379994392395,0.015712902188301087,0.43268448305130003,0.4634146341463415,0.47058823529411764,0.4583333333333333
16,64.2,0.629381772518158,0.012976981610059737,0.4219438862800598,16,64.2,0.629381772518158,0.012976981610059737,0.4219438862800598,0.43902439024390244,0.35294117647058826,0.5
17,66.5,0.6041786489486695,0.02290163976699114,0.43008673191070557,17,66.5,0.6041786489486695,0.02290163976699114,0.43008673191070557,0.36585365853658536,0.6470588235294118,0.16666666666666666
18,68.7,0.6045659410953522,0.013588270276784897,0.4370153002738953,18,68.7,0.6045659410953522,0.013588270276784897,0.4370153002738953,0.34146341463414637,0.4117647058823529,0.2916666666666667
19,67.8,0.613202823638916,0.03828886964172125,0.42618532466888426,19,67.8,0.613202823638916,0.03828886964172125,0.42618532466888426,0.3902439024390244,0.5882352941176471,0.25
20,67.9,0.6030422596931457,0.0008753820732235909,0.42121789598464965,20,67.9,0.6030422596931457,0.0008753820732235909,0.42121789598464965,0.36585365853658536,0.4117647058823529,0.3333333333333333
21,71.0,0.5843043093681335,0.029068032383918762,0.4321557207107544,21,71.0,0.5843043093681335,0.029068032383918762,0.4321557207107544,0.3902439024390244,0.6470588235294118,0.20833333333333334
22,68.9,0.605961754322052,0.0124150170981884,0.415407657623291,22,68.9,0.605961754322052,0.0124150170981884,0.415407657623291,0.43902439024390244,0.5294117647058824,0.375
23,65.3,0.6124996104240418,0.028052982956171035,0.39197180891036987,23,65.3,0.6124996104240418,0.028052982956171035,0.39197180891036987,0.4878048780487805,0.5882352941176471,0.4166666666666667
24,67.9,0.6046570653915405,0.02874985498189926,0.4003502230644226,24,67.9,0.6046570653915405,0.02874985498189926,0.4003502230644226,0.4878048780487805,0.47058823529411764,0.5
25,67.4,0.6071098971366883,0.009887885957956314,0.3930779707431793,25,67.4,0.6071098971366883,0.009887885957956314,0.3930779707431793,0.4878048780487805,0.5882352941176471,0.4166666666666667
26,70.2,0.5671009616851806,0.002328101359307766,0.4015509786605835,26,70.2,0.5671009616851806,0.002328101359307766,0.4015509786605835,0.3170731707317073,0.47058823529411764,0.20833333333333334
27,69.7,0.6069088706970215,0.015901276290416717,0.3941085953712463,27,69.7,0.6069088706970215,0.015901276290416717,0.3941085953712463,0.5121951219512195,0.5294117647058824,0.5
28,69.8,0.58280784034729,-0.012675613641738892,0.38960570001602174,28,69.8,0.58280784034729,-0.012675613641738892,0.38960570001602174,0.5365853658536586,0.5294117647058824,0.5416666666666666
29,69.0,0.5897661590576172,-0.001078228235244751,0.3812790288925171,29,69.0,0.5897661590576172,-0.001078228235244751,0.3812790288925171,0.3902439024390244,0.6470588235294118,0.20833333333333334
30,69.4,0.5814169697761535,0.03929571667313576,0.3784102692604065,30,69.4,0.5814169697761535,0.03929571667313576,0.3784102692604065,0.2926829268292683,0.5882352941176471,0.08333333333333333
31,70.8,0.5714151005744934,-0.000552100419998169,0.37965042328834536,31,70.8,0.5714151005744934,-0.000552100419998169,0.37965042328834536,0.4146341463414634,0.5294117647058824,0.3333333333333333
32,71.8,0.5787138769626617,0.013386338248848915,0.37887375926971434,32,71.8,0.5787138769626617,0.013386338248848915,0.37887375926971434,0.43902439024390244,0.5294117647058824,0.375
33,69.9,0.5919334726333618,0.001417960412800312,0.3666496789455414,33,69.9,0.5919334726333618,0.001417960412800312,0.3666496789455414,0.3170731707317073,0.4117647058823529,0.25
34,69.1,0.5763237624168396,0.01127581137418747,0.3592902250289917,34,69.1,0.5763237624168396,0.01127581137418747,0.3592902250289917,0.36585365853658536,0.5294117647058824,0.25
35,69.9,0.5672155556678772,0.02719701987504959,0.3581528720855713,35,69.9,0.5672155556678772,0.02719701987504959,0.3581528720855713,0.2682926829268293,0.5294117647058824,0.08333333333333333
36,71.6,0.5619115657806396,0.004673203021287918,0.3600523869991302,36,71.6,0.5619115657806396,0.004673203021287918,0.3600523869991302,0.36585365853658536,0.5882352941176471,0.20833333333333334
37,70.0,0.5778686690330506,-0.002307582899928093,0.35013079500198363,37,70.0,0.5778686690330506,-0.002307582899928093,0.35013079500198363,0.36585365853658536,0.5294117647058824,0.25
38,71.7,0.568344621181488,0.005059555679559707,0.3518076944351196,38,71.7,0.568344621181488,0.005059555679559707,0.3518076944351196,0.36585365853658536,0.5882352941176471,0.20833333333333334
39,72.4,0.5617655329704284,0.02194006088376045,0.34982781744003294,39,72.4,0.5617655329704284,0.02194006088376045,0.34982781744003294,0.36585365853658536,0.5882352941176471,0.20833333333333334
40,69.3,0.5850076098442077,0.018303195655345918,0.3358600699901581,40,69.3,0.5850076098442077,0.018303195655345918,0.3358600699901581,0.3902439024390244,0.6470588235294118,0.20833333333333334
41,70.4,0.5639348959922791,0.0188442944586277,0.3356200911998749,41,70.4,0.5639348959922791,0.0188442944586277,0.3356200911998749,0.4634146341463415,0.4117647058823529,0.5
42,71.5,0.5701817619800568,0.005849774092435837,0.3351023283004761,42,71.5,0.5701817619800568,0.005849774092435837,0.3351023283004761,0.4146341463414634,0.47058823529411764,0.375
43,72.3,0.5469987835884095,0.007834786340594292,0.3334832663536072,43,72.3,0.5469987835884095,0.007834786340594292,0.3334832663536072,0.43902439024390244,0.7058823529411765,0.25
44,70.4,0.5750766859054566,-0.011179216131567955,0.3244496552944183,44,70.4,0.5750766859054566,-0.011179216131567955,0.3244496552944183,0.5121951219512195,0.5294117647058824,0.5
45,71.7,0.553582710981369,0.02216939902305603,0.3243334994316101,45,71.7,0.553582710981369,0.02216939902305603,0.3243334994316101,0.4878048780487805,0.5882352941176471,0.4166666666666667
46,67.4,0.5930157947540283,0.011561850279569626,0.30998594093322757,46,67.4,0.5930157947540283,0.011561850279569626,0.30998594093322757,0.5365853658536586,0.5294117647058824,0.5416666666666666
47,71.0,0.5502158164978027,0.023797130987048148,0.3158611497879028,47,71.0,0.5502158164978027,0.023797130987048148,0.3158611497879028,0.4146341463414634,0.6470588235294118,0.25
48,71.7,0.5606458954811097,0.024814835205674173,0.3141035304069519,48,71.7,0.5606458954811097,0.024814835205674173,0.3141035304069519,0.4878048780487805,0.6470588235294118,0.375
49,71.2,0.5582647538185119,0.03501690110564232,0.30955403876304627,49,71.2,0.5582647538185119,0.03501690110564232,0.30955403876304627,0.4146341463414634,0.5294117647058824,0.3333333333333333
50,70.6,0.5780033636093139,0.000304231658577919,0.3050544738769531,50,70.6,0.5780033636093139,0.000304231658577919,0.3050544738769531,0.4878048780487805,0.47058823529411764,0.5
51,72.1,0.5583195018768311,0.03210666897147894,0.30494783210754395,51,72.1,0.5583195018768311,0.03210666897147894,0.30494783210754395,0.4634146341463415,0.5882352941176471,0.375
