,Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Epoch.1,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
0,0.0,50.657142857142865,0.6932723250616163,0.015356130746148854,0.4127943994857016,0.0,50.657142857142865,0.6932723250616163,0.015356130746148854,0.4127943994857016,0.46955745246752995,0.4261843493378213,0.5369804557978798
1,1.0,52.11428571428572,0.6916621759732564,0.014386575399410118,0.4192335712285268,1.0,52.11428571428572,0.6916621759732564,0.014386575399410118,0.4192335712285268,0.5008843920337954,0.4833979843931193,0.509812960271828
2,2.0,52.32380952380952,0.6916746047564915,0.017225761953209084,0.41581505352542514,2.0,52.32380952380952,0.6916746047564915,0.017225761953209084,0.41581505352542514,0.4864537949162723,0.4770257385250751,0.4943591255469898
3,3.0,52.46190476190476,0.6907868658020382,0.01450110455389531,0.4119551937608491,3.0,52.46190476190476,0.6907868658020382,0.01450110455389531,0.4119551937608491,0.47872219293630636,0.44556044108233406,0.511441107081022
4,4.0,52.94285714285714,0.6900858795529319,0.011537199403913243,0.41071743834586355,4.0,52.94285714285714,0.6900858795529319,0.011537199403913243,0.41071743834586355,0.4872806489122905,0.4761474765344734,0.5087173046182623
5,5.0,53.36190476190476,0.6896559268406459,0.016293724790215437,0.4090002708945954,5.0,53.36190476190476,0.6896559268406459,0.016293724790215437,0.4090002708945954,0.46992205806285386,0.4598299447370654,0.4790129400349003
6,6.0,53.7952380952381,0.6891406154405504,0.01783055450554401,0.40736236426943817,6.0,53.7952380952381,0.6891406154405504,0.01783055450554401,0.40736236426943817,0.49357309714995345,0.4428973343723454,0.5414377357858983
7,7.0,53.77619047619047,0.6881511498178755,0.009749963240786657,0.4025166448468254,7.0,53.77619047619047,0.6881511498178755,0.009749963240786657,0.4025166448468254,0.46695181114950773,0.48828542581306844,0.4459216791216868
8,8.0,54.91904761904762,0.6860921654020038,0.013340880382451247,0.4058573857148489,8.0,54.91904761904762,0.6860921654020038,0.013340880382451247,0.4058573857148489,0.46322569119804946,0.4205165319716403,0.5368558063957849
9,9.0,55.9904761904762,0.683219829672859,0.01234603437284625,0.40843841104280376,9.0,55.9904761904762,0.683219829672859,0.01234603437284625,0.40843841104280376,0.46066844972153576,0.4647420371657434,0.4469050383947121
